Id,OwnerCity,OwnerState,PropertyLocationStreet1,PropertyCity,PropertyZip,CountyName,StateParcelId,ParcelSize,ValueofHome,YearBuilt,TypeOfResidence,NumberOfStories,AdjSquareFeet,Pool,PPC,BCEG,DistancetoCoast,PoliceID,Crime,FireID,DistancetoFireDepartment,DistancetoSinkhole,SinkholeLatitude,SinkholeLongitude,LocationWindSpeed,WindborneDebrisRegion,Terrain,FloodZone,FloodZoneRiskLevel,Race,Gender,Hispanic_origin,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 and up,All Ages,Average_Age_of_County
12009f31026acc440,PINEHURST,NC,5833 NEWBURY CIR,MELBOURNE,32940,BREVARD,C15-000-035-4368-3,10890.0,360350.0,2001.0,SINGLE FAMILY,2.0,3716.0,,,,-99.0,,,,1.67,19.32,28.46383,-80.79177,120.0,True,B   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009f4575a7b9603,CHRISTIANSBURG,VA,297 HIGHWAY A1A,SATELLITE BEACH,32937,BREVARD,C15-000-035-9268-0,3485.0,277190.0,1988.0,CONDO STACKED,,1627.0,,4,99.0,105.6,,,,0.46,21.55,28.46383,-80.79177,120.0,True,C   ,"V:70, A:30",,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
120093f03310c517b,WILMINGTON,NC,6979 MCGRADY DR,MELBOURNE,32940,BREVARD,C15-000-052-6688-7,6098.0,219010.0,2005.0,SINGLE FAMILY,1.0,2634.0,,4,,-99.0,,,,2.06,16.04,28.46383,-80.79177,110.0,False,B   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009af41562b6437,NEWBERRY,SC,235 STEWART DR,MERRITT ISLAND,32952,BREVARD,C15-001-088-4839-1,49223.0,798030.0,1984.0,SINGLE FAMILY,2.0,6005.0,,4,,52.8,,,,2.83,15.51,28.46383,-80.79177,120.0,True,C   ,"X:50, A:40, X500:10",,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009136849a01642,FORT MILL,SC,4983 PATRICIA ST,COCOA,32927,BREVARD,C15-000-026-2227-2,10019.0,141290.0,1995.0,SINGLE FAMILY,1.0,2204.0,,,,-99.0,,,,1.41,1.45,28.46383,-80.79177,120.0,True,B   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009f5c675f10225,NEWPORT,NC,400 SEA HORSE AVE,INDIALANTIC,32903,BREVARD,C15-000-039-6896-3,7841.0,161550.0,1973.0,SINGLE FAMILY,1.0,1502.0,,,,2164.8,,,,1.09,25.39,27.756390000000003,-80.685,120.0,True,C   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009fd8a90427b23,GREENSBORO,NC,128 JEFFERSON AVE,CAPE CANAVERAL,32920,BREVARD,C15-001-086-9588-3,5663.0,133900.0,1990.0,ATTACHED RESIDENTIAL,2.0,1365.0,,,,1900.8,,,,0.16,12.49,28.46383,-80.79177,120.0,True,C   ,"X500:70, X:30",,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
1200967fb67df954a,WAYNESVILLE,NC,1340 TROPICANA RD NE,PALM BAY,32905,BREVARD,C15-000-043-3935-4,20909.0,82850.0,1965.0,SINGLE FAMILY,1.0,2456.0,,,,-99.0,744.0,,744.0,0.35,19.56,27.756390000000003,-80.685,120.0,True,B   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009ef032706de1f,GREAT FALLS,VA,1439 CYPRESS TRACE DR,MELBOURNE,32940,BREVARD,C15-001-088-8632-6,9583.0,262320.0,1990.0,SINGLE FAMILY,1.0,3795.0,,4,,-99.0,,,,1.53,18.05,28.46383,-80.79177,120.0,True,B   ,A:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
120099aed9a61dab6,DULLES,VA,199 SAND PINE RD,INDIALANTIC,32903,BREVARD,C15-001-090-3397-7,12197.0,301060.0,1972.0,SINGLE FAMILY,1.0,4531.0,,,,1953.6,,,,0.45,26.29,28.46383,-80.79177,120.0,True,C   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009beb1fa7f7fea,COLUMBIA,SC,331 CHRISTMAS AVE SE,PALM BAY,32909,BREVARD,C15-000-047-8358-5,10454.0,66690.0,1978.0,SINGLE FAMILY,1.0,1569.0,,,,-99.0,744.0,,744.0,0.92,16.41,27.756390000000003,-80.685,120.0,True,B   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
1200960b72abbaf69,RICHMOND,VA,2241 FLOWER TREE CIR,MELBOURNE,32935,BREVARD,C15-000-053-7745-2,6970.0,58910.0,1985.0,CONDO STACKED,,845.0,,,,-99.0,620.0,,620.0,0.38,23.65,28.46383,-80.79177,120.0,True,B   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009a2a7f9219d9e,WINCHESTER,VA,151 TAMPA AVE,INDIALANTIC,32903,BREVARD,C15-000-044-8783-1,12632.0,326520.0,1962.0,SINGLE FAMILY,1.0,2782.0,,4,,1161.6,477.0,,477.0,0.84,23.44,27.74864,-80.64644,120.0,True,C   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009b5561da9d72a,MANASSAS,VA,668 PALM DR,SATELLITE BEACH,32937,BREVARD,C15-000-037-4657-5,8276.0,264660.0,1987.0,SINGLE FAMILY,1.0,2788.0,,5,,897.6,870.0,,870.0,0.77,24.24,28.46383,-80.79177,120.0,True,C   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009d13384c45c38,HICKORY,NC,2195 HIGHWAY A1A,SATELLITE BEACH,32937,BREVARD,C15-000-038-4355-4,3485.0,516500.0,2001.0,CONDO STACKED,,2617.0,,4,4.0,158.4,479.0,,,1.05,25.63,28.46383,-80.79177,120.0,True,C   ,"X:60, V:40",,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009c84e716ed1df,GREENSBORO,NC,2925 HIGHWAY A1A N,INDIALANTIC,32903,BREVARD,C15-000-038-5720-8,,144250.0,1975.0,CONDO ROW,,1067.0,,4,99.0,211.2,,,,0.38,26.28,28.46383,-80.79177,120.0,True,C   ,"X:70, V:30",,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
12009a708a1375cfc,SULLIVANS IS,SC,3740 OCEAN BEACH BLVD,COCOA BEACH,32931,BREVARD,C15-000-031-9077-4,1742.0,462780.0,1996.0,CONDO STACKED,,2445.0,,,,211.2,258.0,,258.0,0.55,13.68,28.46383,-80.79177,120.0,True,C   ,"X:50, V:30, A:20",,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
120099bb2bb249fcb,MC LEAN,VA,345 VENETIAN CT W,MERRITT ISLAND,32953,BREVARD,C15-000-029-1214-5,6534.0,41180.0,1976.0,SINGLE FAMILY,1.0,958.0,,,,3696.0,,,,1.27,6.66,28.46383,-80.79177,120.0,True,C   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
1200910d3abbe3502,ALEXANDRIA,VA,2011 ROCKLEDGE DR SFR,ROCKLEDGE,32955,BREVARD,C15-000-033-2782-2,45302.0,447700.0,1944.0,ATTACHED RESIDENTIAL,1.0,3970.0,,4,99.0,211.2,,,,1.59,13.11,28.46383,-80.79177,120.0,True,C   ,"X:90, X500:10",,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
1200974ef8f7ffd64,MARSHALL,NC,3206 DADE CIR NE,PALM BAY,32905,BREVARD,C15-000-043-5404-9,9583.0,68840.0,1973.0,SINGLE FAMILY,1.0,1358.0,,,,739.2,744.0,,744.0,1.54,19.23,27.74864,-80.64644,120.0,True,C   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
120093a1b0e7fcc9f,ASHBURN,VA,3220 RIVER VILLA WAY,MELBOURNE BEACH,32951,BREVARD,C15-000-045-2217-3,436.0,285420.0,1985.0,CONDO STACKED,,2040.0,,9-Apr,,105.6,,,,1.12,20.4,27.74864,-80.64644,120.0,True,C   ,X:100,,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
